Age,Income,Credit_Score,Loan_Amount,Loan_Tenure_Years,Employment_Years,Num_Credit_Accounts,Num_Defaults_Past,Monthly_Debt_Payment,Marital_Status,Education,Default
78,58088,701,328694,17,35,9,1,444,Single,Bachelor,1
65,118196,742,29826,22,29,5,1,3641,Married,Master,0
36,185883,789,105734,16,32,6,4,4458,Married,Bachelor,1
21,70479,572,162702,5,17,2,2,741,Single,Master,0
52,34963,825,234834,15,27,3,4,2041,Divorced,Master,1
66,70123,458,182235,3,10,3,3,679,Married,Bachelor,1
34,140911,451,103511,28,32,9,4,2467,Married,PhD,1
61,117468,487,464651,7,16,7,2,3697,Divorced,PhD,1
45,88477,397,278797,11,5,8,3,1358,Divorced,Master,1
47,29388,430,164033,10,3,9,0,62,Single,PhD,1
46,20569,470,86941,9,19,6,0,2559,Divorced,Master,1
63,84836,482,210209,14,26,4,2,3769,Divorced,PhD,1
70,119573,663,300806,13,14,1,4,4351,Divorced,Master,1
23,182658,338,103818,29,5,8,1,134,Single,PhD,1
52,158087,826,454662,25,13,7,2,3644,Divorced,High School,1
77,60002,796,157360,25,10,2,3,4970,Divorced,Bachelor,1
58,152326,815,258627,2,38,8,3,4917,Single,High School,1
54,163216,648,100081,3,8,5,0,2135,Divorced,Bachelor,0
41,170286,696,41877,7,25,7,3,3278,Divorced,Bachelor,1
46,152162,460,378706,21,15,4,2,822,Single,Master,1
66,157709,315,413529,18,4,5,3,3074,Married,Bachelor,1
63,168487,792,216957,3,9,8,2,2981,Single,High School,0
70,39071,725,77715,10,2,1,1,120,Divorced,High School,0
48,73243,407,146398,22,12,1,0,1637,Divorced,PhD,1
52,140827,749,115091,29,29,4,3,924,Divorced,High School,0
77,123215,610,137632,7,5,3,2,644,Single,PhD,0
50,187312,469,346292,9,16,2,4,2032,Divorced,Bachelor,1
69,116570,845,88186,17,18,3,0,2761,Divorced,High School,0
78,179506,713,424961,11,34,1,1,2068,Single,Bachelor,0
38,84724,550,167962,7,25,1,2,241,Married,High School,0
49,130359,440,156094,24,4,6,1,2668,Married,High School,1
40,90697,573,390773,28,28,5,1,802,Divorced,PhD,1
50,43732,715,450795,14,36,8,3,4164,Single,Bachelor,1
20,136465,338,75316,19,19,2,3,195,Divorced,High School,1
35,157386,328,482063,4,20,4,2,2187,Single,Master,1
42,170026,776,33380,26,9,8,4,3515,Single,Bachelor,1
59,72108,617,115198,6,4,6,2,2330,Married,Bachelor,1
48,126195,544,269500,10,35,1,4,2359,Married,Bachelor,0
71,118081,571,75326,7,5,4,1,4841,Single,PhD,1
75,51668,739,359591,13,25,1,0,3606,Divorced,Master,1
20,38061,538,119994,14,3,2,2,276,Married,Bachelor,1
57,94252,676,225971,4,38,5,2,60,Divorced,High School,0
63,54749,565,287193,8,38,8,4,3390,Married,High School,1
41,145560,658,473933,5,34,8,1,1913,Married,PhD,1
67,119680,639,372505,1,0,3,1,3927,Divorced,High School,1
49,162979,688,283226,4,23,4,4,2591,Married,Bachelor,0
64,164849,302,267805,3,35,6,1,566,Married,High School,1
